model,model_name,sampling_strategy,device,device_key,empirical_latency_ms,scaled_latency_ms,analytical_latency_ms,energy_per_inference_mj,energy_per_round_mj,active_power_mw
Gradient_Boosting_Conservative_SMOTE,Gradient_Boosting,Conservative_SMOTE,MSP430F5529 (Low-end MCU),MSP430,0.3166161814999926,37.99394177999911,0.8489599999999999,0.013677819040799682,1.3677819040799681,3.6
Gradient_Boosting_Conservative_SMOTE,Gradient_Boosting,Conservative_SMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,0.3166161814999926,5.653860383928439,0.03307142857142857,0.045230883071427516,4.523088307142752,80.0
Random_Forest_Conservative_SMOTE,Random_Forest,Conservative_SMOTE,MSP430F5529 (Low-end MCU),MSP430,13.99754550109991,1679.7054601319892,0.20288,0.6046939656475161,60.46939656475161,3.6
Random_Forest_Conservative_SMOTE,Random_Forest,Conservative_SMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,13.99754550109991,249.9561696624984,0.007845238095238096,1.9996493572999874,199.96493572999873,80.0
Gradient_Boosting_SMOTE_ENN,Gradient_Boosting,SMOTE_ENN,MSP430F5529 (Low-end MCU),MSP430,0.32986548210019184,39.58385785202302,0.8718400000000001,0.014250188826728287,1.4250188826728287,3.6
Gradient_Boosting_SMOTE_ENN,Gradient_Boosting,SMOTE_ENN,ARM Cortex-M4 (Mid-range MCU),CortexM4,0.32986548210019184,5.890455037503426,0.03392261904761904,0.04712364030002741,4.712364030002741,80.0
Gradient_Boosting_BorderlineSMOTE,Gradient_Boosting,BorderlineSMOTE,MSP430F5529 (Low-end MCU),MSP430,0.3211318634999657,38.53582361999588,0.85664,0.013872896503198517,1.3872896503198517,3.6
Gradient_Boosting_BorderlineSMOTE,Gradient_Boosting,BorderlineSMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,0.3211318634999657,5.734497562499388,0.033357142857142856,0.045875980499995105,4.58759804999951,80.0
Random_Forest_BorderlineSMOTE,Random_Forest,BorderlineSMOTE,MSP430F5529 (Low-end MCU),MSP430,13.967046410599972,1676.0455692719966,0.20495999999999998,0.6033764049379188,60.33764049379188,3.6
Random_Forest_BorderlineSMOTE,Random_Forest,BorderlineSMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,13.967046410599972,249.41154304642808,0.007922619047619048,1.9952923443714246,199.52923443714246,80.0
Neural_Network_Conservative_SMOTE,Neural_Network,Conservative_SMOTE,MSP430F5529 (Low-end MCU),MSP430,0.06350088820015572,7.620106584018686,2.7399999999999998,0.009864,0.9863999999999999,3.6
Neural_Network_Conservative_SMOTE,Neural_Network,Conservative_SMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,0.06350088820015572,1.1339444321456378,0.08154761904761905,0.009071555457165103,0.9071555457165102,80.0
Gradient_Boosting_ADASYN,Gradient_Boosting,ADASYN,MSP430F5529 (Low-end MCU),MSP430,0.3225243992998855,38.702927915986265,0.87856,0.013933054049755058,1.3933054049755058,3.6
Gradient_Boosting_ADASYN,Gradient_Boosting,ADASYN,ARM Cortex-M4 (Mid-range MCU),CortexM4,0.3225243992998855,5.759364273212242,0.03417261904761904,0.04607491418569794,4.6074914185697935,80.0
Random_Forest_SMOTE_ENN,Random_Forest,SMOTE_ENN,MSP430F5529 (Low-end MCU),MSP430,13.968063178199777,1676.1675813839734,0.20464,0.6034203292982304,60.34203292982304,3.6
Random_Forest_SMOTE_ENN,Random_Forest,SMOTE_ENN,ARM Cortex-M4 (Mid-range MCU),CortexM4,13.968063178199777,249.42969961071032,0.007910714285714287,1.9954375968856826,199.54375968856826,80.0
HistGradient_Boosting_SMOTE_ENN,HistGradient_Boosting,SMOTE_ENN,MSP430F5529 (Low-end MCU),MSP430,10.638520286199531,1276.6224343439437,0.5207999999999999,0.45958407636381976,45.95840763638198,3.6
HistGradient_Boosting_SMOTE_ENN,HistGradient_Boosting,SMOTE_ENN,ARM Cortex-M4 (Mid-range MCU),CortexM4,10.638520286199531,189.97357653927736,0.020297619047619047,1.5197886123142188,151.9788612314219,80.0
HistGradient_Boosting_Conservative_SMOTE,HistGradient_Boosting,Conservative_SMOTE,MSP430F5529 (Low-end MCU),MSP430,10.917455611100285,1310.0946733320343,0.5544,0.4716340823995323,47.16340823995323,3.6
HistGradient_Boosting_Conservative_SMOTE,HistGradient_Boosting,Conservative_SMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,10.917455611100285,194.95456448393367,0.02160714285714286,1.5596365158714693,155.96365158714693,80.0
HistGradient_Boosting_BorderlineSMOTE,HistGradient_Boosting,BorderlineSMOTE,MSP430F5529 (Low-end MCU),MSP430,11.793457139399491,1415.214856727939,0.588,0.509477348422058,50.947734842205804,3.6
HistGradient_Boosting_BorderlineSMOTE,HistGradient_Boosting,BorderlineSMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,11.793457139399491,210.59744891784806,0.02291666666666667,1.6847795913427845,168.47795913427845,80.0
Extra_Trees_Conservative_SMOTE,Extra_Trees,Conservative_SMOTE,MSP430F5529 (Low-end MCU),MSP430,13.894134805300244,1667.2961766360293,0.21072,0.6002266235889706,60.02266235889706,3.6
Extra_Trees_Conservative_SMOTE,Extra_Trees,Conservative_SMOTE,ARM Cortex-M4 (Mid-range MCU),CortexM4,13.894134805300244,248.1095500946472,0.008136904761904762,1.9848764007571775,198.48764007571776,80.0
Extra_Trees_SMOTE_ENN,Extra_Trees,SMOTE_ENN,MSP430F5529 (Low-end MCU),MSP430,13.960847152599923,1675.3016583119909,0.2112,0.6031085969923168,60.31085969923168,3.6
