Method,Avg_KS_Quality,Avg_JS_Similarity,Avg_Combined,Best_Feature,Best_Score,Features_Above_0.8,Features_Below_0.6
Conservative_SMOTE,0.7855370027492443,0.8412694398940374,0.8134032213216408,DATA_R,0.9331644449024664,8,0
ADASYN,0.6871420899711794,0.7735573423590645,0.730349716165122,SCH_S,0.9288379110394798,7,3
BorderlineSMOTE,0.6006486991548619,0.7208070054846258,0.6607278523197437,Time,0.8528043753885743,4,8
SMOTE-ENN,0.5665509065979583,0.7024220205334893,0.6344864635657237,DATA_R,0.8735260836609693,4,8
