Model,Original_Accuracy,ARM_Accuracy,Delta_Accuracy,Original_F1_Macro,ARM_F1_Macro,Delta_F1_Macro,Original_F1_Weighted,ARM_F1_Weighted,F1_Blackhole_Orig,F1_Blackhole_ARM,F1_Flooding_Orig,F1_Flooding_ARM,F1_Grayhole_Orig,F1_Grayhole_ARM,F1_Normal_Orig,F1_Normal_ARM,F1_TDMA_Orig,F1_TDMA_ARM,Quality_Preserved
Extra_Trees_Conservative_SMOTE,0.990801,0.958993,-0.031808,0.949594,0.809615,-0.139979,0.990906,0.961608,0.952539,0.784111,0.934815,0.803069,0.920968,0.580127,0.996484,0.985800,0.943164,0.894967,False
Random_Forest_Conservative_SMOTE,0.995749,0.985511,-0.010238,0.974134,0.944688,-0.029446,0.995755,0.986113,0.991089,0.976880,0.953172,0.947447,0.978625,0.864613,0.997936,0.992737,0.949846,0.941762,False
Gradient_Boosting_Conservative_SMOTE,0.996391,0.994737,-0.001654,0.976289,0.971177,-0.005112,0.996380,0.994740,0.991317,0.982292,0.958462,0.957983,0.987446,0.963306,0.998276,0.997582,0.945946,0.954723,True
HistGradient_Boosting_Conservative_SMOTE,0.994396,0.994573,+0.000178,0.965818,0.968747,+0.002929,0.994437,0.994593,0.987916,0.980633,0.951945,0.949586,0.978838,0.962147,0.997317,0.997619,0.913076,0.953750,True
